date,gallons
2025-06-30,14.37890625
2025-07-01,11.33984375
2025-07-02,9.7421875
2025-07-03,13.31640625
2025-07-04,13.86328125
2025-07-05,14.7578125
2025-07-06,9.4765625
2025-07-07,8.96484375
2025-07-08,9.6875
2025-07-09,12.1484375
2025-07-10,11.09765625
2025-07-11,12.33203125
2025-07-12,18.7734375
2025-07-13,14.00390625
2025-07-14,9.69921875
2025-07-15,11.79296875
2025-07-16,11.625
2025-07-17,11.20703125
2025-07-18,12.76953125
2025-07-19,16.83984375
2025-07-20,15.55859375
2025-07-21,10.421875
2025-07-22,12.03125
2025-07-23,12.75390625
2025-07-24,10.875
2025-07-25,12.4609375
2025-07-26,17.00390625
2025-07-27,14.58203125
2025-07-28,12.27734375
2025-07-29,11.1640625
2025-07-30,11.828125
2025-07-31,12.734375
2025-08-01,14.0546875
2025-08-02,18.59375
2025-08-03,15.4609375
2025-08-04,13.875
2025-08-05,12.921875
2025-08-06,11.60546875
2025-08-07,13.20703125
2025-08-08,14.25390625
2025-08-09,16.66015625
2025-08-10,12.44921875
2025-08-11,12.37890625
2025-08-12,10.80859375
2025-08-13,11.75
2025-08-14,11.91796875
2025-08-15,14.9765625
2025-08-16,15.7109375
2025-08-17,17.4296875
2025-08-18,13.48046875
2025-08-19,13.83984375
2025-08-20,13.26953125
2025-08-21,13.02734375
2025-08-22,16.01953125
2025-08-23,26.41015625
2025-08-24,25.89453125
2025-08-25,15.6796875
2025-08-26,12.02734375
2025-08-27,11.4609375
2025-08-28,13.8359375
2025-08-29,16.3984375
2025-08-30,20.38671875
2025-08-31,19.58203125
2025-09-01,23.41015625
2025-09-02,11.5625
2025-09-03,13.06640625
2025-09-04,11.08984375
2025-09-05,13.89453125
2025-09-06,19.28515625
2025-09-07,19.7109375
2025-09-08,8.5859375
2025-09-09,11.88671875
2025-09-10,9.19921875
2025-09-11,12.69921875
2025-09-12,13.2421875
2025-09-13,18.23046875
2025-09-14,15.44140625
2025-09-15,10.828125
2025-09-16,11.87890625
2025-09-17,9.30859375
2025-09-18,12.50390625
2025-09-19,16.0859375
2025-09-20,18.859375
2025-09-21,18.55859375
2025-09-22,10.22265625
2025-09-23,9.7109375
2025-09-24,9.390625
2025-09-25,9.78515625
2025-09-26,15.32421875
2025-09-27,18.71484375
2025-09-28,17.06640625
2025-09-29,11.71484375
2025-09-30,11.19140625
2025-10-01,9.77734375
2025-10-02,10.85546875
2025-10-03,14.015625
2025-10-04,20.60546875
2025-10-05,18.5234375
2025-10-06,10.6640625
2025-10-07,11.9296875
2025-10-08,12.04296875
2025-10-09,12.76171875
2025-10-10,15.87890625
2025-10-11,21.76171875
2025-10-12,16.6328125
2025-10-13,11.2578125
2025-10-14,11.03515625
2025-10-15,10.23828125
2025-10-16,13.40625
2025-10-17,17.51171875
2025-10-18,18.5390625
2025-10-19,15.17578125
2025-10-20,10.79296875
2025-10-21,13.44921875
2025-10-22,11.66796875
2025-10-23,12.23828125
2025-10-24,14.52734375
2025-10-25,19.265625
2025-10-26,19.89453125
2025-10-27,9.4921875
2025-10-28,12.7578125
2025-10-29,9.73828125
2025-10-30,9.109375
2025-10-31,13.49609375
2025-11-01,21.05078125
2025-11-02,19.015625
2025-11-03,12.2890625
2025-11-04,15.23046875
2025-11-05,10.9765625
2025-11-06,12.0625
2025-11-07,13.328125
2025-11-08,19.1171875
2025-11-09,17.85546875
2025-11-10,11.03515625
2025-11-11,10.47265625
2025-11-12,9.6953125
