date,total_milk_oz,gallons
2025-10-03,1794.0,14.015625
2025-10-04,2637.5,20.60546875
2025-10-05,2371.0,18.5234375
2025-10-06,1365.0,10.6640625
2025-10-07,1527.0,11.9296875
2025-10-08,1541.5,12.04296875
2025-10-09,1633.5,12.76171875
2025-10-10,2032.5,15.87890625
2025-10-11,2785.5,21.76171875
2025-10-12,2129.0,16.6328125
2025-10-13,1441.0,11.2578125
2025-10-14,1412.5,11.03515625
2025-10-15,1310.5,10.23828125
2025-10-16,1716.0,13.40625
2025-10-17,2241.5,17.51171875
2025-10-18,2373.0,18.5390625
2025-10-19,1942.5,15.17578125
2025-10-20,1381.5,10.79296875
2025-10-21,1721.5,13.44921875
2025-10-22,1493.5,11.66796875
2025-10-23,1566.5,12.23828125
2025-10-24,1859.5,14.52734375
2025-10-25,2466.0,19.265625
2025-10-26,2546.5,19.89453125
2025-10-27,1215.0,9.4921875
2025-10-28,1633.0,12.7578125
2025-10-29,1246.5,9.73828125
2025-10-30,1166.0,9.109375
2025-10-31,1727.5,13.49609375
2025-11-01,2694.5,21.05078125
2025-11-02,2434.0,19.015625
2025-11-03,1573.0,12.2890625
2025-11-04,1949.5,15.23046875
2025-11-05,1405.0,10.9765625
2025-11-06,1544.0,12.0625
2025-11-07,1706.0,13.328125
2025-11-08,2447.0,19.1171875
2025-11-09,2285.5,17.85546875
2025-11-10,1412.5,11.03515625
2025-11-11,1340.5,10.47265625
2025-11-12,1241.0,9.6953125
